korean_name,romanized_name,english_name,category,made_with,img_link,info,recipe_link,spicy,sour,salty,oily
가지구이,gaji-gui,Grilled eggplant with Soy Chili Sauce,"vegetarian, side dish","eggplants,soy sauce, toasted sesame seeds,red chili,sesame oil,scallion",https://m.roundkitchen7.co.kr/web/product/big/202104/53cc8512cb16d43fa8abb58544d8a517.jpg,"Gaji-gui is a side dish stir-fried with oil on a heated pan and slightly salted eggplant, green onions, minced garlic, and soy sauce. It is easy to make and has a high vitamin content, so it is good for fatigue recovery.",https://www.youtube.com/watch?v=XLXU4hE6rHQ,1,1,2,1
갈비구이,galbi-gui,Grilled beef short ribs,"beef, main dish, non spicy, side dish","beef short ribs, garlic, green onion, ground black pepper, kosher salt, sugar, toasted sesame oil",https://www.maangchi.com/wp-content/uploads/2017/06/galbi-gui.jpg,"Galbi-gui is grilled ribs which is one of Koreans' favorite meat dishes, which are thinly scooped beef ribs, marinated in soy sauce, and grilled. In the past, ribs were sold in pairs in Korea, so ordinary families could hardly eat food made of ribs unless it was on holidays or parties. Then, around 1939, it was sold individually at a Pyongyang naengmyeon restaurant in Nakwon-dong, Seoul, and it was easy for anyone to buy and eat, and from then on, it was called Galbi.",https://www.maangchi.com/recipe/galbi,1,1,4,4
갈비찜,galbi-jjim,Braised beef short ribs,"beef, main dish, non spicy, side dish","beef short ribs, brown sugar, carrot, chestnuts, corn syrup, daikon radish, garlic, ginger, ginkgo nuts, ground black pepper, jujubes, Korean radish, mirim, onion, pine nuts, rice syrup, shiitake mushrooms, soy sauce, sugar, water",https://www.maangchi.com/wp-content/uploads/2008/09/galbijjim-insta.jpg,"Galbi-jjim is a dish cooked to have a salty and sweet taste by marinating beef ribs or pork ribs in soy sauce. It is a good food to eat as a side dish as well as a side dish for alcohol. The cooking method of braised short ribs varies slightly depending on each family and region, and in addition to soy sauce, red pepper paste and red pepper powder are added to cook it for a spicy taste. Galbi, the main ingredient, refers to the backbone of cows and pigs and the lean meat attached to them, and is characterized by being chewy and rich in fat and muscle. It can be cooked in a variety of ways, such as grilled, steamed, stew, and hot pot, and when cooked, if you put cuts on the meat attached to the bones, the seasoning will be evenly absorbed into the meat, and the more it boils, the deeper the taste of the soup will be by the broth from the bones.",https://www.maangchi.com/recipe/galbi-jjim,1,1,3,4
감자채볶음,gamja-bokkeum,Pan fried potatoes,"non spicy, vegetarian","potato, onion, vegetable oil, salt, black pepper",https://crazykoreancooking.com/sites/default/files/styles/feature_image_752_x_500/public/IMG_5813.JPG?itok=Hc8p0z50,"Gamja-bokkeum is stir-fried in a pan covered with cooking oil and then seasoned with diagonally sliced green onions, soy sauce, and minced garlic. Depending on the recipe, sugar may be added.",https://crazykoreancooking.com/recipe/panfried-potatoes-gamja-bokkeum,1,1,2,3
감자튀김,gamja-twigim,French fries,"non spicy, vegetarian","potato, vegetable oil, salt, black pepper, ketchup",https://t1.daumcdn.net/cfile/tistory/272F1C50595F28DB12,"Gamja-twigim means French fries in English, and they are sliced and fried potatoes. It is also a fast food snack and is well known for its good cooking at home.",https://www.dinneratthezoo.com/homemade-french-fries/,1,1,4,5
건새우볶음,geon-saewoo-bokkeum,Sauteed Dried Shrimp,side dish,"dried pink shrimp, vegetable oil, sugar, rice syrup, soy sauce, mirin",https://kimchimari.com/wp-content/uploads/2011/03/dsc_1019_039-768x510.jpg,"Geon-saewoo-bokkeum is a dry side dish that stir-fry dried shrimp, soy sauce, sugar, and sesame oil in a hot pan. They also stir-fry garlic paper or chive peppers.",https://kimchimari.com/sauteed-dried-shrimp-%eb%a7%88%eb%a5%b8%ec%83%88%ec%9a%b0-%eb%b3%b6%ec%9d%8c-maleun-saewoo-bokeum/,1,1,3,2
게장,gejang,Marinated crab,"cold, fermented,  preserved side dish, seafood, side dish","apple, blue crabs, dried kelp, dried red chili pepper, flower crab, ginger, green chili pepper, green onion, onion, red chili pepper, rice, rice syrup, sesame seeds, shredded red pepper, soy sauce, water",http://farmtt100bs.hgodo.com/gd5replace/pympym12/data/editor/goods/191014/2_170729.jpg,"Gejang is a Korean salted fish made by pouring seasoned soy sauce boiled in a trimmed blue crab. Typical types of gejang include soy sauce gejang and spicy gejang. Soy sauce gejang is gejang based on soy sauce, and spicy gejang is gejang with soy sauce and spicy seasoning.",https://www.maangchi.com/recipe/ganjang-gejang,2,1,5,1
경단,gyeongdan,Rice cake,"dessert, non spicy, rice cake, snack, vegetarian","black sesame seeds powder, brown sugar, cinnamon powder, flour, kosher salt, mugwort powder, red beans, roasted soybean powder, sweet rice flour, water, white sugar",https://www.maangchi.com/wp-content/uploads/2008/03/gyungdan.jpg,Gyeongdan is a food in which glutinous rice powder or chasu powder is kneaded in hot water and boiled in a round size that is the size of chestnut and is coated with junk.,https://www.maangchi.com/recipe/gyungdan,1,1,1,1
계란말이,gyeran-mari,Rolled omelette," easy, lunchbox, non spicy, side dish","carrot, eggs, green bell pepper, ground black pepper, kosher salt, onion, red bell pepper, vegetable oil",https://www.maangchi.com/wp-content/uploads/2008/07/gyeranmari-slice.jpg,"Gyeran-mari is made by adding vegetables, such as chopped green onions, to beaten eggs, seasoning the mixture with salt, while pouring small portions of egg mixture into an oiled pan, and rolling it carefully over low heat. This is one of the most popular lunchbox condiments. Numerous variations are possible.
",https://www.maangchi.com/recipe/gyeran-mari,1,1,3,2
계란후라이,gyeranhurai,Fried egg,"easy, side dish, egg, non spicy","eggs, salt, vegetable oil",https://storage.googleapis.com/website-zkhiphani/uploads/2022/02/89b03b35-jessica-gavin-2.jpg,"Gyeranhurai is fried egg cooked with oil on a pan. It is a very simple dish, and it is often used as a simple home cooking or topping for food when busy. In Korea, fried eggs are sometimes eaten with soy sauce or ketchup.",https://www.delish.com/cooking/recipe-ideas/a23499380/how-to-fry-an-egg/,1,1,3,3
